SKU,Produto,Categoria,Descricao,Indicacoes,Modo_de_Uso,Rendimento,Tamanho,Preco,Estoque
CM-001,Detergente Neutro Concentrado,Cozinha,Detergente concentrado de alto poder desengordurante com pH neutro que nao resseca as maos,Louca panelas talheres e utensilios de cozinha em geral,Diluir 1 medida para 3 de agua ou usar puro em gordura pesada,Ate 500 loucas por litro,500ml,8.90,120
CM-002,Desengordurante Cozinha Pesada,Cozinha,Formula alcalina que dissolve gordura carbonizada em ate 60 segundos sem esfregar,Coifas fogoes fornos churrasqueiras e azulejos da cozinha,Borrifar aguardar 1 minuto e remover com pano umido,Cerca de 60 aplicacoes,500ml,14.90,85
CM-003,Limpa Vidros com Alcool,Vidros,Limpa vidros com alcool e secagem rapida que nao deixa manchas nem marcas de pano,Janelas espelhos box de banheiro vitrines e telas de vidro,Borrifar e secar com papel toalha ou pano de microfibra,Cerca de 80 aplicacoes,500ml,11.50,90
CM-004,Alcool 70 Liquido,Higienizacao,Alcool etilico hidratado 70 por cento indicado para higienizacao rapida de superficies,Bancadas macanetas celulares e superficies de contato frequente,Aplicar diretamente e deixar secar naturalmente,1 litro rende cerca de 100 higienizacoes,1L,12.90,150
CM-005,Agua Sanitaria 2 por cento,Desinfeccao,Agua sanitaria com cloro ativo para desinfeccao e alvejamento de superficies e roupas brancas,Banheiros ralos pisos caixa de gordura e roupas brancas,Diluir 1 copo para 1 litro de agua e enxaguar apos 10 minutos,1 litro rende 10 litros de solucao,1L,6.50,200
CM-006,Desinfetante Lavanda,Desinfeccao,Desinfetante bactericida com fragrancia de lavanda e acao residual prolongada,Pisos banheiros areas comuns e ambientes com pets,Diluir 1 tampa para 1 litro de agua e passar no piso,Cerca de 40 baldes,2L,18.90,110
CM-007,Limpador Multiuso Cítrico,Multiuso,Limpador de uso geral com extrato citrico que limpa e perfuma sem enxague,Moveis bancadas portas rodapes e superficies laminadas,Borrifar e passar pano limpo sem necessidade de enxaguar,Cerca de 70 aplicacoes,500ml,9.90,140
CM-008,Limpa Pisos Concentrado Floral,Pisos,Limpador de pisos concentrado com brilho e perfume que dura ate 12 horas,Porcelanato ceramica granito marmore e piso laminado,Diluir 1 tampa para 2 litros de agua e passar com mop,Cerca de 60 baldes,2L,22.90,75
CM-009,Sabao em Po Multiacao,Lavanderia,Sabao em po com enzimas que removem manchas dificeis em agua fria ou quente,Roupas do dia a dia uniformes e roupas de cama,Usar 1 medida de 80g para cada 5kg de roupa,Cerca de 20 lavagens,1.6kg,24.90,95
CM-010,Amaciante Concentrado Brisa,Lavanderia,Amaciante concentrado que deixa a roupa macia e perfumada por ate 7 dias,Roupas em geral toalhas e roupas de cama,Adicionar 30ml no ultimo enxague da maquina,Cerca de 65 lavagens,2L,19.90,80
CM-011,Tira Manchas em Po Oxi,Lavanderia,Tira manchas em po com oxigenio ativo seguro para roupas coloridas,Manchas de cafe vinho suor gordura e maquiagem,Dissolver 1 colher em agua morna e deixar de molho por 30 minutos,Cerca de 30 usos,450g,16.90,70
CM-012,Sabao de Coco em Barra,Lavanderia,Sabao de coco tradicional em barra biodegradavel para lavagem manual,Roupas delicadas panos de chao e limpeza pesada manual,Umedecer a peca e esfregar a barra diretamente na mancha,5 barras por pacote,5x200g,13.90,130
CM-013,Limpador de Inox e Metais,Especializado,Limpador que remove manchas e devolve o brilho do aco inox sem riscar,Geladeiras fogoes pias coifas e eletrodomesticos de inox,Aplicar no pano e passar sempre no sentido do escovado do inox,Cerca de 50 aplicacoes,300ml,21.90,45
CM-014,Removedor de Limo e Mofo,Especializado,Removedor com acao imediata contra limo mofo e bolor em areas umidas,Rejuntes box paredes de banheiro area externa e lavanderia,Borrifar aguardar 10 minutos e enxaguar com agua abundante,Cerca de 55 aplicacoes,500ml,17.90,60
CM-015,Lustra Moveis Silicone,Especializado,Lustra moveis com silicone que protege limpa e realca o brilho da madeira,Moveis de madeira laminados e superficies envernizadas,Agitar borrifar no pano e espalhar em movimentos circulares,Cerca de 65 aplicacoes,200ml,13.50,88
CM-016,Desentupidor Liquido de Ralos,Especializado,Desentupidor liquido que dissolve cabelo gordura e residuos organicos em ate 30 minutos,Ralos pias tanques e canos entupidos,Despejar 250ml no ralo aguardar 30 minutos e jogar agua quente,4 aplicacoes,1L,26.90,40
CM-017,Pano de Microfibra Multiuso,Acessorios,Pano de microfibra de alta absorcao que limpa sem deixar fiapos e dura ate 300 lavagens,Vidros moveis inox carros e limpeza geral sem risco,Usar seco para po e umido para limpeza. Lavar apenas com agua,Pacote com 3 unidades,3 unidades,24.90,100
CM-018,Rodo Mop Giratorio 360,Acessorios,Mop giratorio com balde centrifugador que reduz o esforco e seca o piso mais rapido,Todos os tipos de piso em casas apartamentos e comercios,Molhar o refil centrifugar no balde e passar no piso,Refil dura cerca de 6 meses,Kit completo,89.90,25
CM-019,Kit Limpeza Completo Casa,Kits,Kit com 6 produtos essenciais para a limpeza completa da casa com 20 por cento de desconto,Quem quer montar ou repor o estoque de limpeza de uma vez,Cada produto do kit possui seu proprio modo de uso na embalagem,Dura em media 1 mes para uma familia de 4 pessoas,6 itens,79.90,30
CM-020,Kit Limpeza Profissional,Kits,Kit profissional com 10 itens de alto rendimento para empresas condominios e escritorios,Empresas de limpeza condominios escritorios e comercios,Produtos concentrados que devem ser diluidos conforme cada rotulo,Rende em media 300 metros quadrados por mes,10 itens,189.90,15
